ahkit	ikävä
jávri	järvi
jearahallat	kysellä
jearahit	kysellä
jearrat	kysyä
jietnadit	äännellä
joatkit	jatkaa
joavdat	saapua
johtil	nopea (subst.)
johtil	nopea (adj.)
juŋgel	viidakko
juoga	jotain
juohkeokta	jokainen, jokaikinen
juoidá	jotakin
juoigat	joikata
justa	tarkalleen (tasan), juuri
kafea	kahvila
kontu	tili
lagaš	läheinen
láhtterátnu	lattiamatto
láhttet	käyttäytyä
láibut	leipoa
lásmat	vikkelä
lássa	lasi, ikkuna
lávet	olla tapana
lávvardat	lauantai
leaska	leski
ledjon	leijona
leikestit	kaataa nopeasti
lianta	kynä
libardit	lepattaa, liehua
lieggariika	lämminmaa
liepma	liemi
lihkadit	liikkua
lihkkat	herätä
lihtti	astia
loaidu	lattia, kodassa tulisijan kahden puolen
loaktit	kuluttaa
lohkamortnet	lukujärjestys
lohkat	sanoa, lukea
loktet	nostaa
lonohallat	vaihdella
lonuhit	vaihtaa
luodda	jälki
luohkká	luokka
lužas	ripuli
maiddái	myös
makkár	millainen, minkälainen
manin	miksi
maŋábealdi	takana
maŋimuš	viimeinen
maŋŋá	jälkeen
maŋŋit	myöhään
máhttit	osata
máksit-mávssán	maksaa
málestit	keittää ruokaa
mánnávuohta	lapsuus
máŋga	moni, monta
márkan	markkina
mášiidna	kone
mášoheamit	malttamattomasti
mátkkoštit	matkustaa
measta	melkein, lähes
mielde	mukana, mukaan
mielki	maito
miestta	pensas
mo	miten
moddii	pari kertaa
mojohallat	hymyillä
muđui	muuten
muhtumin	joskus, toisinaan
muohta	lumi
muoŧŧá	äidin nuorempi sisar, täti
nagir unessa, unissaan
náđđát	jurottaa, lymytä
náhkkesoffá	nahkasohva
návdi	peto
nealgi	nälkä
nie	niin, siten
niegadit	nähdä unta
njálggis	hyvänmakuinen
njálla	naali, napakettu
njávgut	naukua
njeazzát	irvistellä
njiellat	niellä
njoammil	jänis
njuiket	hypätä
njukčá	joutsen
njunni	nenä
njuolgga	suoraan
nohkat	loppua
nohkkanáigi	nukkumaanmenoaika
nohkkat	nukkua
Norgga bealdi	Norjan puolella
nuorravuohta	nuoruus
nuorvvu	nuha
nuppebeliid	toisinpäin
oabbá	sisko
oađđinlatnja	makuuhuone
oađđit	nukkua
oahppi	oppilas
oainnestit	nähdä hetken
oanehaš	lyhyt (adj.)
oarpmealle	tyttöserkku
oarri	orava
oastit	ostaa
oažžut	saada
ođas	uusi
ohcat	etsiä
okta	yksi, yhden, yhtä
oktavuohta	yhteys
oktii	kerran
olggos	ulos
olles	täydet, kokonaiset
orrunlatnja	olohuone
orustit	pysähtyä, seisahtaa
ovdajuolgi	etujalka
ovttain báikkiin	samoissa paikoissa
ovttatmános	yhtäkyytiä
priváhta	yksityinen
rábbi	haaska, raato
rádná	kaveri, toveri
skibir	kaveri, toveri
ráfálaš	rauhallinen
ráhkadit	tehdä, valmistaa
ránnjá	naapuri
rásttis	rastas
rávdnjeheasta	virtahepo
reabbá	rapu
reastalas	räystäs
rieban	kettu
riehčut	kirkua, ulista
rievssat	riekko
rihpat	riistää
riidalit	riidellä
ruhta	raha
rullet	rullata, kääriä
ruohttat	juosta (eläimestä)
ruoksat	punainen
ruoktot (ruoktut)	kotiin
ruovttoluotta	takaisin
ruškat	ruskea
sadji	paikka, tila
sajis	sijassa, sijalla
sáhka	asia, juttu
sáhpán	hiiri
sáhttit	voida, saattaa
sáhttu	kyyti
sámeduodji	käsityö
sápmi	saamelainen, saamenmaa, saame
sárggis	raita
sávdni	sauna
sávri	kestävä
seaibi	häntä
seammá	sama
seammás	heti
seaŋga	sänky
seavvit	vilkuttaa
siessá	isän sisar, täti
sihkkel	pyörä
sihtat	pyytää
siida	siida
sirdit	siirtää, siirtyä
siste	sisällä
sisti	sisällä
šat	enää
šiehttat	sopia
šillju	piha
skáhppe	penkki
skážas	sudenkorento
skeaikit	nauraa
skeaŋka	lahja
skibir	kaveri
skorpiovdna	skorpioni
skuolfi	pöllö
skuvla	koulu
smarfi	kihara
smiehttat	miettiä, ajatella
snárttal	haapana
snelket	puraista
snuggamuš	kaluttava
sohka	suku
sohkar	sokeri
somá	hauska, kiva, mukava
sotnabeaivve	sunnuntaina
spálfu	pääskynen
speajal	peili
steažžalakkis	sisilisko
stereo	stereo
stoahkat	leikkiä
stuollu	tuoli
stuoris	iso, suuri
sullii	suunnilleen, noin
suohpan	suopunki
suollemas	salainen
suovasbiergoláibi	savulihavoileipä
televišuvdna	televisio
tiger	tiikeri
uksabiellu	ovikello
unni	pieni
ustit	ystävä
uvdnagáddi	uunin vieri
varra	veri
varračájánas	verinäyte
váiban	väsynyt
várra	varmaan, varmaankin
váttis	vaikea
vázzilit	lähteä kävelemään
vázzit	käydä, kävellä
veadjit	jaksaa
veajuheapmi	voimaton, huonovointinen
váháš	vähän
veháš	vähän
vejolaš	mahdollista
vel	vielä
velgo	vieläkö
viehkat	juosta
vielgat	valkoinen
viežžat	hakea
viimmat	vihdoin, viimein
viissis	viisas
vilbealle	poikaserkku
visot	kaikki
vissásit	varmasti
viššat	viitsiä
viššat	haukkua (käskettäessä, erit. poroja)
vižardit	visertää
vulos	alaspäin
vuos	ensin
vuohki	tapa
vuojehit	ajattaa
vuokta	hius
vuoktačuohppi	parturi, kampaaja
vuolde	alla
vuolgi	lähtevä
vuolgit	lähteä
vuolildusbivttas	alusvaate
vuolledássi	ala-aste
vuorddemat	odotahan, odotapas
vuorddesmat	odotapas
vuordit	odottaa
vuorru	vuoro
vuos	ensin
vuosttas	ensimmäinen
vuot	taas
