* Funky input line bahážat	bahážat	+?
* Funky input line badjosat	i høyden	XXX
* Funky input line buotdin	kaikki tyynni	XXX
* Funky input line gas cō: puskii (koiralle) XXX
* Funky input line peaila	neljänneslitran mitta	XXX
* Funky input line preantár	kirjanpainaja	XXX
* Funky input line preanttidit	painaa (kirjoja)	XXX
anteanna	antenni	N	N
antihkalaš	antiikkinen	A	A
antihkka	antiikki	N	N
antologiija	antologia	N	N
ánuheaddji	anoja	N	N
apostal	apostoli	N	N
apostovllalaš	apostolinen	A	A
apotehkár	apteekkari	N	N
áppádit	kiehahtaa yli	V	+?
áppes	aapinen	N	N
áppet	ape	N	+?
áppuhit	päästää kiehumaan yli	V	+?
ápril	huhtikuu	N	N
arába	arabi	N	N
arahat	peräänantamaton ihminen tai eläin	N	+?
árašit	estellä (vähin erin)& hätistellä (pois)& estellä (vähin erin)& hätistellä (pois)	V	+?
árástuvvat	aristua	V	V
arat	kiihkeä	+?	A
árbbeheapme	perinnötön	A	+?
árbbolaš	perillinen	N	N
árbeguođđi	perinnönjättäjä	N	N
árbejeaddji	perijä	N	N
árbestit	periä vähän& periä roimasti& periä vähän& periä roimasti	V	+?
árbet	periä	V	V
árbi	perintö	N	N
árbmu	armo	N	N
árbmugasvuohta	armeliaisuus	N	N
areála	pinta-ala	A|N	N
aresteret	pidättää& takavarikoida& pidättää& takavarikoida	V	+?
arestet	pidättää& takavarikoida& pidättää& takavarikoida	V	+?
árggan	arkajalka	N	+?
árggašit	pitää arkena (jtak päivää)& pitää liian arkisena& pitää arkena (jtak päivää)& pitää liian arkisena	V	+?
arggosnuvvat	piristyä	+?	V
argumeanta	argumentti	N	N
áristit	estää (kerran)	V	+?
aritmetihkka	aritmetiikka	N	N
árka	(liiton) arkki	N	+?
árka	paperi(arkki)	N	+?
arkeologa	arkeologi	N	N
arkeologiija	arkeologia	N	N
arkiiva	arkisto	N	N
arkiteakta	arkkitehti	N	+?
arkitektuvra	arkkitehtuuri	N	N
árkkálmastalit	säälitellä	V	V
árktalaš	arktinen	A	A
arnihkka	arnikki	N	N
árpmášit	sääliä	V	V
árpmihit	armahtaa	V	V
árpmolaš	armollinen	A	A
árpmuattáldat	armolahja	N	N
árrásuddat	sierettyä (useasta kohdasta)	V	+?
árrásuvvat	sierettyä	V	V
árrit	estää& häiritä& hätistää& estää& häiritä& hätistää& estää& häiritä& hätistää	V	+?
artihkal	artikkeli	N	N
árvádahttit	arvuuttaa	V	V
árvádallat	arvailla	V	V
arvái	sateinen	+?	A
árvalanguoibmi	neuvottelukumppani	N	N
arvát	alkaa sataa vettä	V	+?
arveš	tarmokas	+?	+?
árvidahttit	arvuuttaa	V	V
arvilit	sataa (kerralla kovasti) vettä	V	+?
arvohit	jättää sateen kasteltavaksi	V	+?
árvosaš	arvoinen	A	A
arvot	kastua sateessa	+?	+?
arvvalaš	tarmokas	+?	+?
árvvašit	pitää (liian) anteliaana	V	+?
arvvašit	sadella	V	V
árvvasmit	tulla anteliaa(mma)ksi	+?	+?
arvvestit	sataa (vähän)	V	+?
arvvistit	sataa (äkkiä runsaasti) vettä	V	+?
arvvohallat	käyttäytyä pirteästi	V	+?
arvvohastalit	olla pirteä	V	+?
arvvohastit	olla pirteä	V	+?
árvvohuvvat	menettää arvoaan	V	+?
árvvolaš	arvokas	A	+?
árvvoštallan	arvostelu& päätelmä& arviointi& arvostelu& päätelmä& arviointi& arvostelu& päätelmä& arviointi	N	+?
arvvuhuvvat	lannistua	V	V
ásaheaddji	asettaja& perustaja& asettaja& perustaja	N	+?
asálaš	paksuketinen (nahasta)	+?	+?
asášit	pitää (liian) paksuna	V	+?
asbeasta	asbesti	N	N
aseheapme	ohut (litteistä esineistä)	A	+?
asehuhttit	ohentaa (litteää esinettä)	V	+?
ásen	aasi	N	N
asfálta	asfaltti	N	N
ásialaš	aasialainen	+?	A
Ásia	Aasia	N	N
asibealli	kesipuoli	N	+?
ásii	asia	N	N
aškkastit	paantaa	V	+?
ásodit	asustella	V	V
ásodit	haasioida (pitkään)	V	+?
aspárggus	ruokaparsa	N	N
ásppas	maittava	A	+?
assáduvvat	äksyillä	V	V
áššáiduhttit	syyttää (rikoksesta)	V	+?
áššáiduvvat	joutua (rikoksesta) syytteeseen	V	+?
assájit	paksulti	Adv	Adv
ássanbáiki	asuinpaikka	N	N
áššáskuhttit	syyttää (rikoksesta)	V	+?
áššeheapme	syytön& asiaton& turha& syytön& asiaton& turha& syytön& asiaton& turha	A	+?
áššehuvvat	vapautua syytteestä	V	+?
áššihuvvat	päästä oikeusjutuista	V	+?
assisteanta	assistentti	N	N
áššodit	tehdä tarpeensa	V	+?
assosaš	paksuinen (litteästä esineestä)	A	+?
assosiašuvdna	assosiaatio	N	N
assudit	paksuntaa (litteää esinettä)	V	+?
áššu	hiillos	N	N
ássu	rauha	N	N
áššut	hiiltyä	V	V
ássut	haasioida	V	V
ástadit	saada tai panna näivettymään	V	+?
ástageađgi	talkkikivi	N	+?
astronávta	avaruusmies	N	+?
asttuheapme	kiireinen	A	A
ateasta	(lääkärin tms.) todistus	N	+?
ateisma	ateismi	N	N
ateista	ateisti	N	N
áŧestus	ahdistus	N	N
áŧestuvvat	ahdistua	V	V
atnubiktasat	arkivaatteet& pitovaatteet& käyttökelpoiset vaatteet& arkivaatteet& pitovaatteet& käyttökelpoiset vaatteet& arkivaatteet& pitovaatteet& käyttökelpoiset vaatteet	+?	+?
átnuladdat	anoskella& pyydellä& anoskella& pyydellä	V	+?
átnut	anoa& pyytää (vars. syntejä anteeksi)& anoa& pyytää (vars. syntejä anteeksi)	V	+?
atoma	atomi	N	N
attáldat	lahja	N	N
attás	lahjaksi	Adv	+?
attástallat	antaa (vähin erin)& sättiä& nahistella& pinkaista (tuon tuostakin)& rehkiä (jtak tehden)& antaa (vähin erin)& sättiä& nahistella& pinkaista (tuon tuostakin)& rehkiä (jtak tehden)& antaa (vähin erin)& sättiä& nahistella& pinkaista (tuon tuostakin)& rehkiä (jtak tehden)& antaa (vähin erin)& sättiä& nahistella& pinkaista (tuon tuostakin)& rehkiä (jtak tehden)& antaa (vähin erin)& sättiä& nahistella& pinkaista (tuon tuostakin)& rehkiä (jtak tehden)	V	+?
atteš	(liian) antelias	+?	+?
attihit	panna tai saada antamaan& kelvata tai soveltua annettavaksi& panna tai saada antamaan& kelvata tai soveltua annettavaksi	V	+?
atti	Ipmẹl atti: Jumala antakoon	Adv	+?
attildit	annella (vähitellen)& pyyhältää& annella (vähitellen)& pyyhältää	V	+?
attribuhtta	attribuutti	N	N
attus	almu	N	N
Austrália	Australia	N	N
automáhtalaš	automaattinen	A	A
automáhtta	automaatti	N	N
automatiseren	automatisointi	N	N
autoritehta	auktoriteetti	N	N
avádat	vyöhyke	N	+?
avastit	ahmia (kaikki ruoka)	V	+?
ávaštus	aavistus	N	N
ávdin	autio& syrjäinen (asumuksesta)& autio& syrjäinen (asumuksesta)	A	+?
ávdnedit	muotoilla (vähin erin)	V	+?
ávdugas	autuas	A|N	A
ávdugasvuohta	autuus	N	N
ávgos	elokuu	N	N
ávji	heinä	N	N
ávjjeheapme	niukasti heinää kasvava& heinätön& niukasti heinää kasvava& heinätön	A	+?
ávjjoheapme	tylsä	A	A
ávjjohuvvat	tylsyä (terästään)	V	+?
ávjjur	kuplahylje	N	+?
ávjolassii	terä ylöspäin	Adv	+?
ávjoruovdi	teräase	N	N
ávjuluvvat	huipentua& kärjistyä& huipentua& kärjistyä	V	+?
ávkkáiduvvat	hyötyä	V	V
ávkkálaš	hyödyllinen	A	A
ávkkuhit	hyödyttää	V	V
ávnnaslaš	aineellinen	A	A
ávssis	akseli	N	N
ávttahat	teurastuspaikka (lumella)	N	+?
ávvirheapme	välinpitämätön	A	+?
ávvirmeahttun	välinpitämätön	A	+?
avvit	vuotaa (veneestä)	V	+?
ávžut	kehottaa	V	V
báberseahkka	paperipussi	N	N
báddádallat	heittää kiinni (suopungilla)& harjoittaa (poroa tai poroja) liekaan& heittää kiinni (suopungilla)& harjoittaa (poroa tai poroja) liekaan	V	+?
báddebahá	änkyrä (eläimestä)	A	+?
báddelodji	helposti talutettava (eläimestä)	A	+?
badjeliigeahčči	valvoja	N	N
badjeliiluohtehahtti	luotettava	A	A
badni	kehrääjä	N	N
bađvi	palko	N	+?
báffat	pauhata	V	V
bagadas	tiiviste	N	N
bagadeapmi	kuritus& neuvonta& kuritus& neuvonta	N	+?
bággehit	saada tai panna jku pakottamaan jkta& antaa pakottaa itsensä (tekemään jtak)& saada tai panna jku pakottamaan jkta& antaa pakottaa itsensä (tekemään jtak)	V	+?
baggi	pullukka	N	A& N
bággu	pakko	N	N
bahágas	paholainen	N	N
bahčagit	katkeroitua& tulla pahanmakuiseksi& katkeroitua& tulla pahanmakuiseksi	V	+?
báhčáladdat	ammuskella (tarmokkaasti)	V	+?
báhcálas	vitkutteleva	+?	+?
báhčalit	ammuskella	V	V
bahčašit	pitää (kovin) katkerana& pitää pahanmakuisena& pitää (kovin) katkerana& pitää pahanmakuisena	V	+?
bahčásit	pusertua	V	V
báhcat	käpy	N	N
báhčči	ampuja	N	N
bahčči	lypsäjä	N	N
bahččot	pusertua	+?	V
báhččot	tulla ammutuksi& joutua (ampiaisen jne.) pistämäksi& tulla ammutuksi& joutua (ampiaisen jne.) pistämäksi	+?	+?
bahččut	katkeroitua	V	V
báhcilit	jäädä (vähäksi aikaa)& jäädä (vähän jälkeen)& jäädä (vähäksi aikaa)& jäädä (vähän jälkeen)	V	+?
bahčilit	lypsäistä	V	+?
báhčinviđá	vasta-ammuttu(na)	Adv	+?
bahčinviđá	vastalypsetty(nä)	+?	+?
báhkadit	kuumentaa	V	V
báhkin	pakana	N	N
báhkkanaddat	kuumentua (usein tai useista esineistä)& hermostua& kuumentua (usein tai useista esineistä)& hermostua	V	+?
báhkkon	käsky	N	N
bahodat	pahuus	N	N
baholagaid	pahat (pl.) toisilleen	Adv	+?
báhpaskuvla	rippikoulu	N	N
bahtadit	(vulg.) ahmaista	V	+?
báhtaraddat	paeta (usein tai useista pakenijoista)& pakoilla& paeta (usein tai useista pakenijoista)& pakoilla	V	+?
báhtareaddji	pakolainen	N	N
báhtte	patti (hevosella)	N	+?
báidnejaš	painajainen	N	N
baikabava	ummetus	N	N
baikkestuvvat	tuntea ulostamisen tarvetta	V	+?
báikkiid	suunnilleen	+?	Adv& Pcle
báikkohagaid	paikoitellen	Adv	Adv
báikkolaš	paikoittainen& laikukas& paikoittainen& laikukas	A	+?
báikkuid	paikoin	Adv	Adv
baikot	tahrautua (ulosteeseen)	+?	+?
báimman	paimen (rel.)	N	+?
báinnagit	saada (pahaa) makua jstak	V	+?
báinna	värjäysaine	N	+?
báinnihit	värjäyttää& soveltua värjättäväksi& värjäyttää& soveltua värjättäväksi	V	+?
báiste	paistinpannu	N	N
báistit	paistaa (pannussa)	V	+?
báitalit	lämmitellä (nuotiolla)	V	+?
báitevaš	loistava& loistelias& loistava& loistelias	A	+?
báitil	loistava	A	A
báitot	saada tehdyksi jtak	+?	+?
bajádus	nostettava (esim. raskas kivi)	N	+?
bajálaš	väliraha& lisuke: jälkiruoka& väliraha& lisuke: jälkiruoka	N	+?
bajándávgi	sateenkaari	N	N
baján	ukkonen	N	N
bajásčuoččáldahttit	herättää kuolleista	V	+?
bajásčuožžileapmi	ylösnousemus	N	N
bajásdoalahus	ylläpito	N	N
bajásdoallat	ylläpitää	V	V
bajásgeassit	kasvattaa	V	V
bajásráhkadus	ylösrakennus	N	+?
bajit	ylempi	A	A
bajuš	yläosa& (verkon) koho& yläosa& (verkon) koho	N	+?
bákkolaš	pakollinen	A	A
bákkuhit	pakottaa	V	V
bakku	pyy	N	N
bákŋat	maikkua	V	+?
bákŋi	sarventyvi	N	+?
báládit	ammua (äkkiä ja kovaa)	V	+?
baladit	pelkäillä	V	+?
balánsa	tasapaino	N	N
bálašit	ammua (jatkuvasti vähän)	V	+?
baláskit	pelästyä (kovasti)	V	+?
bálát	rauha (esim. sääskiltä)	N	+?
baldalit	pelotella	V	V
bálda	vieri	N	N
balddáhallat	pelotella	V	V
bálddalastit	rinnastaa	V	V
bálddastahttit	kävellä jnk vieressä	V	+?
balddihit	pelästyttää	V	V
bálgáheapme	poluton	A	+?
bálggahat	palkima-alue	N	+?
báljildit	liikkua kaljupäisenä	V	+?
bálkestahttit	heitättää& heittäytyä& heitättää& heittäytyä	V	+?
bálkkašit	palkita	V	V
balláda	balladi	N	N
bállálas	ammuva(inen)	+?	+?
ballalas	pelokas	+?	+?
ballát	(+ lok.) pelästyä (jtak)	V	+?
ballevaš	pelkääväinen	A	A
bállir	kiikkerä& ympäripyöreä& kiikkerä& ympäripyöreä	A	+?
bállit	ammua (kovasti)	V	+?
balsáma	balsámabohppel: palsamipoppeli	N	+?
bálstá	palsta	N	N
báltalaš	balttilainen	A	A
baluheapme	peloton	A	+?
bálvaleaddji	palvelija& palvoja& palvelija& palvoja	N	+?
bálvaleapmi	palvelu& palvonta& palvelu& palvonta	N	+?
bálvalit	palvella& mielistellä& orjailla& palvoa& palvella& mielistellä& orjailla& palvoa& palvella& mielistellä& orjailla& palvoa& palvella& mielistellä& orjailla& palvoa	V	+?
bálvvuštit	palvoa	V	V
bámbu	bambu	N	N
banáhat	kehräämö	N	N
báŋka	penger	N	+?
banistit	kehrätä (vähän)	V	+?
bankiira	pankkiiri	N	N
bánno	pannu	N	N
bánžat	pöhöttyä	V	V
bánžžagit	pöhöttyä	V	V
bánžžas	pöhöttynyt (kasvoista)	A	+?
bánžžistit	hikoilla (kovasti kasvoistaan)	V	+?
báraheapme	pariton	A	+?
báralaš	parillinen	A	A
bárá	para	N	N
barbára	barbaari	N	N
barbáralaš	barbaarinen	A	A
bardáladdat	ladella	V	V
bárddáldat	kierros (köyttä sidoksessa)	N	+?
barddáldat	ladelma	N	N
bárddašit	puistella (päätään)	V	+?
bárdebeaivi	pärttyli	N	+?
bárdnat	saada lapsi tai lapsia	V	+?
bárdnivuohta	poikuus& poikamiesaika& poikuus& poikamiesaika	N	+?
bárel	parila	N	N
bárgádaddat	palmikoida (useita palmikoita)	V	+?
bargan-	barganáigi: työaika	+?	+?
bárggeš	(paulan) nyöri	N	+?
barggeš	työteliäs	A	A
barggolašvuohta	työllisyys	N	N
barggoš	työteliäs	A|N	A
bargoheaitta	lakko	N	N
barju	(komeaoksainen) mänty& tunturilainen& (komeaoksainen) mänty& tunturilainen	N	+?
bárket	parkita	V	V
barohkka	barokki	N	N
báron	paroni	N	N
bárrahaš	paras(kin)	A	+?
bártašuvvat	joutua onnettomuuteen& tehdä jtak onnettomuudekseen& joutua onnettomuuteen& tehdä jtak onnettomuudekseen	V	+?
bártnálaš	kuuliainen (vanhempiaan kohtaan& aikuisesta pojasta)& kuuliainen (vanhempiaan kohtaan& aikuisesta pojasta)	+?	+?
bártnehuoš	poikarukka	N	+?
basadit	peseskellä	V	+?
basadit	peseytyä	V	V
basahit	pesettää	V	V
básár	myyjäiset	N	N
basášit	kaihtaa (esim. tiettyä työtä) pyhäpäivän takia	V	+?
basastit	pestä (vähän)& pestä rivakasti& pestä (vähän)& pestä rivakasti	V	+?
basestit	paistaa (vähän)	V	+?
basiheapme	jossa on vähän pyhäpäiviä (ajanjaksosta)	A	+?
basihit	paistattaa& soveltua paistettavaksi& paistattaa& soveltua paistettavaksi	V	+?
basilla	basilli	N	N
baška	paska (kirosana)	N	+?
baskkot	pienisilmäinen verkko	N	+?
básmá	pasma	N	N
báson	pasuuna	N	N
bássa	basso	N	N
bassan-	bassančáhci: pesuvesi	+?	+?
bassenmuorra	paistinvarras	N	+?
bassivuohta	pyhyys	N	N
básta	niini	N	N
bastilislátnjá	orjantappura	N	N
basttastit	puristaa pihdeillä	V	+?
basttehuvvat	tylsyä	V	V
basttoheapme	tylsä	A	A
bataljovdna	pataljoona	N	N
batnáladdat	kehräillä (tarmokkaasti)	V	+?
bátneluš	(teuraan) alaleuka	N	+?
bátneolmmoš	hyvähampainen henkilö	N	+?
bátnesoallun	hammastikku	N	N
báttas	patoutuma& (patoutuman vuoksi) tulviva& patoutuma& (patoutuman vuoksi) tulviva	A|N	+?
báttastit	tulvia (nopeasti patoutuman vuoksi)	V	+?
bávččaskeahtes	kivuton	+?	+?
bávgoš	tylli	N	N
bávkkas	pauke	N	+?
bávtat	paantaa	V	+?
bázadit	jäädä (vähitellen jälkeen)	V	+?
bážáhat	asetuspyssy (ansa)	N	+?
bázahit	jättää (jäljelle)	V	+?
bážan	ampuma-ase	N	N
bážašit	ammuskella (vähän)	V	+?
bažašit	lypseskellä	V	+?
bážas	(luodista) haavoittunut	A|Adv	+?
bážekeahttá	bážẹkeahtẹs: ampumaton	+?	+?
bažekeahttá	bažẹkeahtẹs: lypsämätön	+?	+?
bážestit	ampua (vähän ja nopeasti)	V	+?
bázestit	jäädä (vähän) jälkeen	V	+?
bažestit	lypsää (vähän)	V	+?
bázestuvvat	haluta tai alkaa jäädä jälkeen	V	+?
bažihahtti	lypsettävä	A	+?
bážihahttit	ammuttaa (vahingossa)& olla ampumisen arvoinen& ammuttaa (vahingossa)& olla ampumisen arvoinen	V	+?
bážihit	ammuttaa& saada ampumaan& soveltua tai kelvata ammuttavaksi& ammuttaa& saada ampumaan& soveltua tai kelvata ammuttavaksi& ammuttaa& saada ampumaan& soveltua tai kelvata ammuttavaksi	V	+?
bážistit	ampua (vähän)	V	+?
bázistit	jäädä (vähän) jälkeen	V	+?
