addit – attán   antaa
iđit – iđida   aamu
ieš alddes   itse asiassa
iešguđetlágan – -lágana, # =   monenlainen, erilainen
iežas   (hänen) oma
ihkku   yöllä; öisin
ihttin   huomenna
ikte   eilen
illu – ilu   ilo
irgi – irggi   poikaystävä; sulhanen
isit – isida   aviomies
iskat – iskkan   koettaa (kädellä tms.)
issoras – issorasa, # =   hirveä, kamala, pelottava
ivdnái – ivdná, #ivdnás   jkun värinen
ivdni – ivnni   väri
ja   ja
-jahkásaš   -vuotias
jahki – jagi   vuosi
jal'la – jalla, #jallas   hullu
jaskat – jaskada, #jaskes   hiljainen
jaskkodit – jaskkodan   hiljetä
já   jaa, vai niin
jáffut (mon.)   jauhot
jáhkka – jáhka   takki
jáhkkit – jáhkán   uskoa
jállu – jálu, #jálus   rohkea, peloton
jápmit – jámán   kuolla
jávkkehit – jávkkehan   kadota (nopeasti, yllättäen tms.)
jávri – jávrri   järvi
jearahit – jearahan   kysellä
jearrat – jearan   kysyä
jeđ'đet – jeđ'đen   lohduttaa
jienádit – jienádan   äännähtää
jierbmái – jierbmá, #jierbmás   järkevä
jietna – jiena   ääni
jietnadit – jietnadan   ääntää, äännähtää
jitnosit   ääneen
jo   jo
joatkit – joatkkán   jatkaa
joavdat – joavddan   päästä perille, ehättää
johtil – johtila, #johtilis   nopea
johtu   kulkeminen, liike
johtui   liikkeelle
jokŋa – joŋa   puolukka
jos   jos
juhkat – jugan   juoda
julla – jula   jylinä, jyminä
juo   kyllä; jo
juoga – juoidá   jotakin
juogus – juhkosa   jaos   
juohke   joka (‘every’)
juoigat – juoiggan   joikata
juolgi – juolggi   jalka
juos   jos
juovlamánnu – -mánu   joulukuu
juovlaruohtta – juovlaruohta   jouluaatto
jurddašit – jurddašan   ajatella
juvla – juvlla   rengas
kafea   kahvila
kansliija – kansliija   kanslia
kás'sa – kássa   laatikko
kilo – kilo   kilo
kilobealle – kilobeale   puoli kiloa
kursa – kurssa   kurssi
lađas – lađđasa   nivel   
lahka   lähellä
lahkonit – lahkonan   lähestyä
lasi   lisää
lasihit   lisätä
lasta – lastta   lehti
latnja – lanja   huone
lavdnji – lavnnji   turve
láđ'đi – láđ'đi   verka
láđis – láđđása, # =   lempeä
láhtterátnu   matto
láhtti – láhtti   lattia
láibi – láibbi   leipä
láibut – láibbun   leipoa
láigolaš – láigolačča   vuokralainen
lássa – lása   lasi; ikkuna
lássaliinnit (mon.)   verhot
láttu – láddo   lampi
lávet – láven   olla tapana, ”ruukata”
lávlla – lávlaga   laulu
lávlut – lávllun   laulaa
lávvardat – lávvardaga   lauantai
leabbut – leappun   levitellä
leahkastit – leahkastan   aukaista, avata (ovi tms.)
leaibi – leaibbi   leppä
leat – lean   olla
leat fuolas   olla huolissaan
leat ilus   olla iloinen
leat oidnosis   olla näkyvissä
lebbet – lebben   levittää
liekkas – lieggasa, #liegga   lämmin
lihkkat – lihkan   herätä
lihkolaš – lihkolačča, # =   onnellinen
lihtti – lihti   astia
liigi   liika(a)
liikebiktasat (mon.)   alusvaatteet
liiki – liikki   iho
liikká   (jostain, siitä) huolimatta, siltikin, kuitenkin
liikot – liikon (+ ill.)   pitää jstak
liiva – liivva   liivi
linis – litnása, #litna   pehmeä
listu – listtu   luettelo, lista
livvadit – *livvadan   maata (sorkkaeläimistä yms.)
loddi – lotti   lintu
logát – logáda   kymmenes
logi – logi   kymmenen
lohkat – logan   sanoa; lukea; laskea; pitää jnak
loktet – lokten   nostaa
lonuhit – lonuhan   vaihtaa (jotain johonkin toiseen)
lossat – lossada, #lossa (~ #los'ses)   raskas, painava
luddet – ludden   halkaista
luhtte   luona, luota
luoddut – luottun   halkoa
luohkká – luohká   mäki
luoikat – luoikkan   lainata
luoitit – luoittán   laskea (alas); laskeutua; päästää (irti)
luomi – luopmána   hilla, lakka
luoppal – luobbala   järvi joen varrella
luossa – luosa   lohi
lusa   luokse
maid   myös; mitä
maiddái   myös
maidege   [ei] mitään
makkár – makkára, # =   millainen
manin   miksi
mannan   viime (ajan ilmauksissa)
mannat – manan   mennä
maŋimus, # =   viimeinen
maŋis   perässä (takanapäin), -stä
maŋŋá   jälkeen; myöhemmin
maŋŋái   perään
maŋŋebárga – maŋŋebárgga   tiistai
maŋŋel   jälkeen
masá   melkein, miltei
mašiidna – mašiinna   kone
Máhtte – Máhte   miehen nimi (Matti)
máhttit – máhtán   osata
máilbmi – máilmmi   maailma
máksit – mávssán   maksaa
mánnu – mánu   kuu; kuukausi
máŋga   monta
máŋggalágan – máŋggalágana, # =   monelainen
máŋgii   monesti
márfi – márffi   makkara
márgariidna – márgariinna   margariini
mátki – mátkki   matka
meahcci – meahci   asumaton alue, erämaa, ”metsä”
mearka – mearkka   merkki
mearkut – mearkkun   merkitä (merkillä)
mearra – meara   meri
mearridit – mearridan   määrätä; päättää (tehdä jtak)
measta   melkein
meattá   ohi
menddo   liian
miehtat – mieđan   myöntyä
miehtá   pitkin
mieiganstuollu – mieiganstuolu   nojatuoli
mielde   mukana, mukaan
miella – miela   mieli; tuuli, mieliala
miel'li – mielli   (jyrkkä) rantatörmä, jokitörmä
miessemánnu – -mánu   toukokuu
miessi – miesi   vasa
mii – man   mikä
mii – min   me (ei kahdesta)
mo   miten, kuinka
moadde – moatti   muutama
moai – mun'no   me (kaksi)
moarsi – moarsi   tyttöystävä; morsian
moddját – moddján   hymyillä
mohkki – mohki   mutka
mohtor – mohtora   moottori
mojohallat – mojohalan   hymyillä
morihit – morihan   havahtua
muđui   muuten
muhto   mutta
muhtumin   joskus, toisinaan
muhtun – muhtuma   joku
muitalit – muitalan   kertoa
muitit – muittán   muistaa
mun – mu   minä
muohtu – muođu   poski; (monikossa myös:) kasvot
muorji – muorjji   marja
muorra – muora   puu
muoŧŧá – muoŧá   täti (äidin nuorempi sisar)
naba   entä, entäpä
nagadit – nagadan   kyetä, jaksaa
namma – nama   nimi
nanus – nannosa, #nana   luja, kestävä
nágget – nággen   inttää, väittää vastaan
náhkki – náhki   nahka
návet – náveha   navetta
nealgut – nealggun   nähdä nälkää, tulla (hyvin) nälkäiseksi
niehku – niegu   uni
nieida – nieidda   tyttö
nisojáffut   vehnäjauhot (mon.)
nisoláibi – nisoláibbi   pulla
nissut – nisun   niistää
nisu – nissona   nainen
njammat – njaman   imeä
njáhkat – njágan   hiipiä
njálbmi – njálmmi   suu
njálggis – njálgá   makeinen
njálggis – njálgá, #njálgga   hyvänmakuinen
njárga – njárgga   niemi
njávgut – *njávggun   naukua
njávkkadit – njávkkadan   silittää, silitellä (kädellä)
njealját – njealjáda   neljäs
njeallje – njealji   neljä
njiedjat – njiejan   laskeutua (rinnettä tms.)
njoahcudit – njoahcudan   hidastaa
njoallut – njoalun   nuolla
njoammil – njoammila   jänis
njoarostit – njoarostan   heittää suopunkia
njoarrat – njoaran   kaataa (nestettä)
njuiket – njuiken   hypätä
njuikut – njuikkun   hyppiä
njukčamánnu – -mánu   maaliskuu
njunni – njuni   nenä; nenäke (maankohoumassa)
njuoskkas – njuoskasa, #njuoska   märkä
njuovčča – njuokčama   kieli (‘tongue’)
njuovvat – njuovan   teurastaa
nohkastit – nohkastan   nukahtaa (äkkiä); nukkua (hetki)
nohkat – *nogan   kulua; loppua
nohkkat – nohkan   nukahtaa; (harv.) nukkua
nu   niin
nubbi – nuppi   toinen
nugo   niin kuin, kuten
nummir – nummira   numero
nuolastit – nuolastan   riisua (äkkiä, nopeasti tms.)
nuollat – nuolan   riisua
nuorra – nuora, # =   nuori
nuorvvu – nurvo   nuha
nuov'vebáddi – -bátti   hamppuköysi, -naru
o   oi
oabbá – oappá   sisar
oađđinlatnja   makuuhuone
oađđit – oađán   nukkua
oaggut – oakkun   onkia
oahpahallat – oahpahalan   opetella
oahpaheaddji – oahpaheaddji   opettaja
oahpahit – oahpahan   opettaa
oahpis – oahppása, #oahpes   tuttu
oahppat – oahpan   oppia
oaidnit – oainnán   nähdä
oainnat   näet (partikkeli)
oaivi – oaivvi   pää (’head’)
oalle   varsin, sangen
oanehaš – oanehačča, #oanehis   lyhyt
oapman – oapmana   uuni
oarpmealle – oarpmeale   naisserkku
oastit – oasttán   ostaa
oažžut – oaččun   saada
obbalággá – obbalákká   umpisuoli
odne   tänään
ođas – ođđasa, #ođđa   uusi
ođđajagimánnu – -mánu   tammikuu
ohcat – ozan   etsiä
Ohcejohka – Ohcejoga   Utsjoki
oidnot – oidnon   näkyä
ojá   vai niin
okta – ovtta   yksi
oktii   kerran
oktiibuot   yhteensä
okto   yksin
olgeš – olgeša, # =   oikea (vs. vasen)
ollege   [ei] ollenkaan, lainkaan
ollesolmmoš   aikuinen
ollis – ol'lása, #olles   koko(nainen); aikuinen
ollu (+ mNom)   paljon
olmmoš – olbmo   ihminen
olus   [ei] juurikaan, paljonkaan
oppa   koko (= ‘entire’)
oránša – oránšša, # =   oranssi
ore – ore   ori
orrunlatnja   olohuone
orrut – orun   asua; olla (aloillaan tms.); vaikuttaa joltakin
ortnet – ortnega   järjestys
orustit – orustan   pysyhtyä
otne   tänään
ovccát – ovccáda   yhdeksäs
ovcci – ovcci   yhdeksän
ovdal   ennen
ovdalgo   ennen kuin
ovddas   edessä, -stä
ovddeš – ovddeža, # =   entinen
ovddit – ovddibu   edellinen
ovdii   eteen
rabas – rahpasa, # =   avoin
rahpat – raban   avata
rastá   poikki
rašši – raši, #rašeš   arka, (vähän) kipeä
ravda – ravdda   reuna
rádjai   johonkin saakka
ráfálaš – ráfálačča, # =   rauhallinen
ráfot – ráfon   rauhoittua
ráhkadit – ráhkadan   valmistaa, tehdä (jokin esine, ruokaa, tms.)
ráhkis – ráhkkása, # =   rakas
ráhppa – ráhpa   rappu, porras
ráigi – ráiggi   reikä
ránis – rátnása, #ránes   harmaa
rán'njá – ránnjá   naapuri
rássi – rási   ruoho, heinä; kukka
rátnu – ránu   raanu
ráv'vet – ráv'ven   neuvoa
rehkenastit – rehkenasttán   laskea (‘to count’)
reive – reivve   kirje
riegádanbeaivi – -beaivvi   syntymäpäivä
riegádit – riegádan   syntyä
riehpu - riebu   raukka, parka
riekta   oikein
rihča – rihččaga, # =   kitkerä
riika – riikka   valtio
rikkis – riggá, # =   rikas
riŋget – riŋgen   soittaa (puhelimella)
riš'ša – rišša   tulitikku; rikki
roggi – rokki   kuoppa; uoma, jokilaakso
rohtu – rođu   lehto; ryteikkö
ropmi – romi, #romes   ruma
rotnu – ronu   maho vaadin
ruhta – ruđa   raha
ruohttat – *ruohtan   juosta (nelijalkaisista)
ruoksat – ruoksada, #rukses   punainen
ruoksát – ruoksán   näkyä, olla punaisena, “punottaa”
ruoksi – ruovssi   tuumi, vedin (utareissa)
ruoktot   kotiin; takaisin
ruoktu – ruovttu   koti
ruoná – ruoná, # =   vihreä
